frequency,duration,pcid
81287,13861420.0,1622
81267,12600760.0,31
81127,17151840.0,182
80587,14502740.0,632
80533,13185310.0,422
80460,10947220.0,511
80324,9694750.0,896
80151,12863340.0,1161
79923,18180650.0,2010
79787,11891200.0,305
79435,13068630.0,900
78649,16331320.0,1480
78474,9642390.0,131
78422,11109340.0,1241
78096,14393010.0,302
77812,14925230.0,833
77325,22521060.0,1364
76975,18213550.0,562
75647,13237740.0,757
75387,14390070.0,378
75142,13471980.0,912
75119,17786990.0,1192
74807,12065970.0,122
74530,11523290.0,127
74487,11413410.0,793
74154,12804890.0,1171
74070,13483370.0,694
73929,14024480.0,982
73473,14375650.0,472
73342,14138550.0,1374
73231,14132250.0,1791
72832,15593380.0,731
72776,8813320.0,1540
72505,12951440.0,845
72441,10843420.0,135
72428,9138780.0,1552
72415,11093350.0,124
72144,11565590.0,1800
72123,11263000.0,97
71784,11901960.0,1535
71783,11222950.0,205
71647,13500380.0,1173
71604,14118140.0,246
71471,14941660.0,2039
71382,12202220.0,334
71347,12864810.0,1453
71339,14639050.0,1919
71037,14041490.0,283
70905,10742000.0,1602
70634,12322190.0,888
70328,9350490.0,1618
70119,13808930.0,347
69872,11427700.0,568
69635,9423520.0,1353
69437,12379270.0,1736
69251,11991020.0,220
69168,13364270.0,350
68886,11395250.0,267
68847,13210750.0,1358
68651,9618200.0,325
68507,14179910.0,1640
68496,14165750.0,628
68413,10268390.0,1717
68347,9804090.0,984
67929,9110170.0,345
67818,8635720.0,1113
67663,12051090.0,595
67624,10286750.0,240
67051,9063930.0,433
66970,11710530.0,1572
66926,8898560.0,270
66630,9913970.0,816
66329,7640630.0,1538
66213,12251790.0,964
65977,12744600.0,986
65434,10721290.0,1452
65252,8363690.0,63
65245,9670280.0,817
65146,14595920.0,1752
65101,11936210.0,474
65013,11961680.0,1164
64796,7905020.0,1792
64438,16990070.0,674
64354,12233820.0,1576
64282,18394630.0,744
64034,8667410.0,286
63678,10267040.0,630
63457,11187470.0,1440
63171,11975290.0,2015
62893,11544610.0,621
62734,10057510.0,1880
62513,13150530.0,1146
62438,11662410.0,1412
62433,8821750.0,368
62369,7802690.0,1568
62333,7997770.0,1057
61774,10208840.0,1099
61622,9400030.0,591
61579,9870950.0,1624
61066,9847590.0,1668
60896,10159070.0,1682
60856,10216840.0,1286
60832,10702670.0,126
60363,9615330.0,1874
60295,9118780.0,1808
60229,12898920.0,1371
59980,8083430.0,531
59864,12957080.0,1883
59578,13258560.0,1759
59479,8985110.0,1680
59449,9581260.0,1745
59164,12309210.0,1755
58953,10728210.0,366
58792,10569450.0,374
58178,7139140.0,1664
57257,10614990.0,1514
57137,10138170.0,1744
57109,6498230.0,1537
57105,9329380.0,1068
56918,10099140.0,2043
56813,11147460.0,468
56732,5922810.0,1029
56373,10259840.0,557
56302,8858260.0,151
55621,9418230.0,236
55477,11138180.0,426
55430,9420670.0,1545
55390,10458750.0,110
55364,7603790.0,30
55224,12007450.0,681
55030,6623160.0,1410
55027,9051660.0,405
55018,10230680.0,252
54852,8623640.0,846
54826,11162310.0,1611
54783,12445390.0,1420
54437,11792270.0,678
54429,10878670.0,735
54385,8641650.0,547
54380,9432810.0,2031
54263,9762410.0,1062
54123,8172530.0,1681
53537,10816490.0,382
53289,9806290.0,1625
53279,7115970.0,363
52900,9388110.0,1878
52852,7559290.0,105
52765,9567080.0,1672
52518,9183180.0,875
52446,8126650.0,1118
52425,6919290.0,361
52241,14380840.0,1115
51951,5503150.0,1281
51496,7244660.0,390
51203,8436030.0,248
51162,9488490.0,916
51105,8933400.0,948
51069,7944580.0,508
50773,8623500.0,1983
50689,9578740.0,1302
50471,9244090.0,1138
50363,8758650.0,2045
50315,12509100.0,779
50284,7267380.0,1116
50227,10132120.0,1400
49567,7148120.0,331
49530,9116800.0,780
49416,8210700.0,609
49392,9160400.0,1482
49212,10210420.0,736
49039,14049940.0,684
48853,8197830.0,488
48627,8639190.0,734
48617,7342320.0,1072
48388,8445190.0,504
47923,9556000.0,1022
47900,6575570.0,159
47822,5747610.0,837
47633,7784400.0,540
47518,8095590.0,510
47366,12127740.0,1254
47320,9282200.0,23
47189,9771170.0,894
47063,9312320.0,895
47050,10010070.0,1612
46910,8651690.0,87
46874,6273600.0,39
46789,8089600.0,1107
46742,6264700.0,79
46717,8520880.0,1394
46430,8632240.0,1442
46362,9760790.0,1898
46209,7406260.0,178
45864,9053980.0,1737
45709,7866290.0,851
45633,6803140.0,1091
45413,8365450.0,767
45341,9226480.0,434
45278,10167770.0,1398
45221,6726820.0,406
45204,8341050.0,760
45123,6760280.0,569
45036,6207000.0,2020
44887,10992760.0,1228
44880,5920920.0,1177
44841,6613920.0,526
44742,7388480.0,960
44630,7507350.0,435
44545,9128530.0,878
44269,7671940.0,1616
44240,6576290.0,480
44076,7105840.0,500
43835,7309650.0,1157
43613,6943690.0,43
43607,7054380.0,607
43566,8821820.0,1534
43484,6945930.0,639
43268,7517680.0,142
43202,8530600.0,599
43059,6610060.0,83
42968,6231820.0,884
42921,7752160.0,758
42905,7669510.0,996
42603,7946850.0,756
42534,7288190.0,624
42504,7173560.0,221
42497,8188190.0,1860
42325,7961040.0,1355
42312,6830020.0,1142
42269,8256330.0,466
42259,8467790.0,1186
42221,5619150.0,1279
42109,5955530.0,1802
42024,5931900.0,29
41985,8556130.0,765
41779,5185710.0,27
41547,7418830.0,1490
41424,6799620.0,1297
41373,9291460.0,666
41278,7181470.0,314
41201,6791800.0,1818
41054,8389350.0,1530
41053,6588650.0,91
40991,10362930.0,1496
40902,6074710.0,2044
40821,7745460.0,863
40807,7832580.0,1134
40442,5369280.0,263
40387,7843930.0,879
40370,5179260.0,60
40354,11337450.0,341
40192,8000690.0,2011
40115,7183200.0,633
39878,6791190.0,458
39592,5730020.0,1810
39578,5002050.0,157
39503,8679430.0,1757
39118,4821320.0,1417
39049,5782480.0,812
39020,6309760.0,742
38933,8684640.0,287
38889,7170580.0,761
38695,5164960.0,1828
38681,5468750.0,114
38648,7599660.0,2042
38611,6780840.0,1728
38322,6614500.0,1644
38302,7230780.0,1992
38244,9036680.0,1914
38231,5827280.0,215
38030,7401610.0,745
37858,6238630.0,989
37853,7444170.0,891
37780,6046940.0,1151
37462,5316230.0,1317
37440,6685380.0,470
37115,7502910.0,1237
37046,7334120.0,370
37020,5483460.0,1615
36979,6379310.0,1021
36944,5734320.0,333
36943,6329500.0,969
36801,5200710.0,46
36715,5745670.0,409
36665,8318410.0,1494
36577,4944460.0,613
36492,6657130.0,1460
36488,4646560.0,1445
36487,4131320.0,419
36390,5506620.0,787
36386,5867120.0,365
36297,5912570.0,551
36284,6233630.0,1732
36281,4769490.0,1553
36163,5701100.0,1016
36098,8113290.0,1332
36076,5308920.0,493
35903,5059500.0,976
35806,6881080.0,695
35688,5680350.0,813
35680,6759280.0,1155
35662,4513510.0,1425
35653,6435110.0,1749
35647,5149520.0,254
35472,5684410.0,1617
35353,7679600.0,1252
35267,6166820.0,158
35238,4701940.0,319
35218,5622260.0,2040
35180,8466680.0,1372
35093,7432080.0,1243
34951,6682540.0,970
34878,4991350.0,279
34784,5934130.0,914
34593,3655810.0,1031
34373,5481630.0,796
34109,6498000.0,892
34101,6017980.0,460
34081,4454700.0,307
34069,5830860.0,985
34051,5765320.0,634
34027,6451600.0,1334
33922,6620230.0,1887
33843,6982030.0,1734
33807,6642190.0,1642
33780,5960290.0,222
33769,6218930.0,1988
33728,4535830.0,1554
33716,4531470.0,818
33704,5689210.0,285
33676,6624360.0,619
33656,5535100.0,492
